"ring_diagonalLength [mm]","w [mm]","Freq [GHz]","re(S(FloquetPort1:1,FloquetPort1:1)) []","im(S(FloquetPort1:1,FloquetPort1:1)) []"
0.3,0.1,27.94,-0.898013172218678,0.439354284053546
0.3,0.1,27.95,-0.897927298458992,0.439529519335824
0.3,0.1,27.96,-0.897841373042934,0.439704773378997
0.3,0.1,27.97,-0.897755395942606,0.439880046187344
0.3,0.1,27.98,-0.897669367130087,0.440055337765127
0.3,0.1,27.99,-0.897583286577437,0.440230648116608
0.3,0.1,28,-0.897497154256695,0.440405977246039
0.3,0.1,28.01,-0.89741097013988,0.440581325157668
0.3,0.1,28.02,-0.897324734198987,0.440756691855735
0.3,0.1,28.03,-0.897238446405996,0.44093207734447
0.3,0.1,28.04,-0.897152106732859,0.441107481628104
0.3,0.1,28.05,-0.897065715151514,0.441282904710852
0.3,0.1,28.06,-0.896979271633873,0.441458346596931
0.3,0.1,28.07,-0.89689277615183,0.441633807290546
0.3,0.1,28.08,-0.896806228677255,0.441809286795895
0.3,0.1,28.09,-0.896719629182,0.441984785117173
0.3,0.1,28.1,-0.896632977637893,0.442160302258564
0.3,0.1,28.11,-0.896546274016745,0.442335838224247
0.3,0.1,28.12,-0.896459518290342,0.442511393018396
0.3,0.1,28.13,-0.896372710430452,0.442686966645174
0.3,0.1,28.14,-0.896285850408817,0.442862559108739
0.3,0.1,28.15,-0.896198938197165,0.443038170413242
0.3,0.1,28.16,-0.896111973767197,0.443213800562826
0.3,0.1,28.17,-0.896024957090594,0.443389449561631
0.3,0.1,28.18,-0.895937888139016,0.443565117413782
0.3,0.1,28.19,-0.895850766884102,0.443740804123407
0.3,0.1,28.2,-0.895763593297471,0.443916509694617
0.3,0.1,28.21,-0.895676367350718,0.444092234131522
0.3,0.1,28.22,-0.895589089015418,0.444267977438222
0.3,0.1,28.23,-0.895501758263123,0.444443739618811
0.3,0.1,28.24,-0.895414375065366,0.444619520677377
0.3,0.1,28.25,-0.895326939393659,0.444795320617996
0.3,0.1,28.26,-0.895239451219487,0.444971139444742
0.3,0.1,28.27,-0.895151910514319,0.445146977161678
0.3,0.1,28.28,-0.895064317249601,0.445322833772862
0.3,0.1,28.29,-0.894976671396756,0.445498709282341
0.3,0.1,28.3,-0.894888972927187,0.445674603694161
0.3,0.1,28.31,-0.894801221812274,0.445850517012353
0.3,0.1,28.32,-0.894713418023376,0.446026449240944
0.3,0.1,28.33,-0.894625561531831,0.446202400383955
0.3,0.1,28.34,-0.894537652308953,0.446378370445396
0.3,0.1,28.35,-0.894449690326036,0.44655435942927
0.3,0.1,28.36,-0.894361675554351,0.446730367339577
0.3,0.1,28.37,-0.894273607965149,0.446906394180301
0.3,0.1,28.38,-0.894185487529656,0.447082439955427
0.3,0.1,28.39,-0.894097314219081,0.447258504668926
0.3,0.1,28.4,-0.894009088004604,0.447434588324762
0.3,0.1,28.41,-0.89392080885739,0.447610690926893
0.3,0.1,28.42,-0.893832476748577,0.44778681247927
0.3,0.1,28.43,-0.893744091649284,0.447962952985834
0.3,0.1,28.44,-0.893655653530606,0.448139112450517
0.3,0.1,28.45,-0.893567162363617,0.448315290877244
0.3,0.1,28.46,-0.893478618119368,0.448491488269936
0.3,0.1,28.47,-0.893390020768888,0.4486677046325
0.3,0.1,28.48,-0.893301370283185,0.448843939968838
0.3,0.1,28.49,-0.893212666633243,0.449020194282842
0.3,0.1,28.5,-0.893123909790024,0.449196467578398
0.3,0.1,28.51,-0.893035099724469,0.449372759859384
0.3,0.1,28.52,-0.892946236407497,0.449549071129666
0.3,0.1,28.53,-0.892857319809999,0.449725401393108
0.3,0.1,28.54,-0.892768349902853,0.449901750653558
0.3,0.1,28.55,-0.892679326656907,0.450078118914862
0.3,0.1,28.56,-0.892590250042989,0.450254506180855
0.3,0.1,28.57,-0.892501120031905,0.450430912455366
0.3,0.1,28.58,-0.892411936594438,0.450607337742208
0.3,0.1,28.59,-0.892322699701349,0.450783782045196
0.3,0.1,28.6,-0.892233409323375,0.450960245368129
0.3,0.1,28.61,-0.892144065431231,0.451136727714802
0.3,0.1,28.62,-0.89205466799561,0.451313229088995
0.3,0.1,28.63,-0.891965216987182,0.45148974949449
0.3,0.1,28.64,-0.891875712376593,0.451666288935048
0.3,0.1,28.65,-0.891786154134469,0.45184284741443
0.3,0.1,28.66,-0.89169654223141,0.452019424936386
0.3,0.1,28.67,-0.891606876637996,0.452196021504657
0.3,0.1,28.68,-0.891517157324781,0.452372637122971
0.3,0.1,28.69,-0.891427384262301,0.452549271795057
0.3,0.1,28.7,-0.891337557421062,0.452725925524624
0.3,0.1,28.71,-0.891247676771554,0.452902598315381
0.3,0.1,28.72,-0.89115774228424,0.453079290171023
0.3,0.1,28.73,-0.891067753929561,0.453256001095235
0.3,0.1,28.74,-0.890977711677936,0.453432731091697
0.3,0.1,28.75,-0.890887615499757,0.45360948016408
0.3,0.1,28.76,-0.890797465365399,0.453786248316041
0.3,0.1,28.77,-0.89070726124521,0.453963035551233
0.3,0.1,28.78,-0.890617003109514,0.454139841873295
0.3,0.1,28.79,-0.890526690928614,0.454316667285862
0.3,0.1,28.8,-0.890436324672788,0.454493511792555
0.3,0.1,28.81,-0.890345904312293,0.45467037539699
0.3,0.1,28.82,-0.890255429817362,0.454847258102769
0.3,0.1,28.83,-0.890164901158201,0.455024159913488
0.3,0.1,28.84,-0.890074318304999,0.455201080832733
0.3,0.1,28.85,-0.889983681227916,0.45537802086408
0.3,0.1,28.86,-0.889892989897092,0.455554980011095
0.3,0.1,28.87,-0.889802244282641,0.455731958277334
0.3,0.1,28.88,-0.889711444354656,0.455908955666347
0.3,0.1,28.89,-0.889620590083204,0.456085972181669
0.3,0.1,28.9,-0.889529681438331,0.456263007826829
0.3,0.1,28.91,-0.889438718390051,0.456440062605357
0.3,0.1,28.92,-0.889347700908378,0.456617136520733
0.3,0.1,28.93,-0.889256628963271,0.456794229576478
